,price,Condition ,Date ,Views ,City,Motorbike Type ,Make Year,Make,Model,Engine size (cc),Lot No.,Kilometers
1978,"Rs. 2,30,000",Used,29/8/2016,98,Kathmandu,Sportsbike,2015,Yamaha,FZ-S,149,69,5900
1979,"Rs. 1,35,000",Used,28/8/2016,530,Kathmandu,Sportsbike,2012,Yamaha,R15,150,40,55000
1980,"Rs. 1,95,000",Used,25/8/2016,820,Narayanghat,Sportsbike,2016,Yamaha,FZ-S,153,37,13000
1981,"Rs. 2,39,000",Used,19/8/2016,211,Kathmandu,Sportsbike,2012,Yamaha,R15,150,52,20000
1982,"Rs. 2,40,000",Used,18/8/2016,416,,Sportsbike,2014,Yamaha,R15,150,29,23000
1983,"Rs. 1,50,000",Used,18/8/2016,380,Tadi,Sportsbike,2014,Yamaha,FZ-S,153,31,20000
1984,"Rs. 2,35,000",Used,12/8/2016,392,Bhairahawa,Sportsbike,2014,Yamaha,FZ-S,159,23,3000
1985,"Rs. 2,00,000",Used,6/8/2016,712,Kathmandu,Sportsbike,2014,Yamaha,R15,150,29,25000
1986,"Rs. 1,65,000",Used,1/8/2016,1418,Kathmandu,Sportsbike,2012,Yamaha,R15,150,50,14000
1987,"Rs. 1,55,000",Used,1/8/2016,411,Bhaktapur,Sportsbike,2011,Yamaha,R15,150,48,40000
1988,"Rs. 65,000",Used,26/7/2016,1088,Kathmandu,Sportsbike,2006,Yamaha,FZ,153,4,10000
1989,"Rs. 1,90,000",Used,5/8/2016,381,Biratnagar,Sportsbike,2015,Yamaha,FZ-S,150,21,14510
1990,"Rs. 2,50,000",Used,25/7/2016,573,Kathmandu,Sportsbike,2015,Yamaha,R15,150,69,11000
1991,"Rs. 1,20,000",Used,24/7/2016,417,Kathmandu,Sportsbike,2010,Yamaha,Fazer,153,44,40000
1992,"Rs. 2,95,000",Used,22/7/2016,388,Kathmandu,Sportsbike,2016,Yamaha,R15,150,74,2300
1993,"Rs. 90,000",Used,21/7/2016,666,Kathmandu,Sportsbike,2009,Yamaha,FZ-S,153,41,32000
1994,"Rs. 2,55,000",Used,18/7/2016,306,Kathmandu,Standard,2015,Yamaha,Alba,150,69,11000
1995,"Rs. 48,000",Used,18/7/2016,873,Kathmandu,Cruiser,2003,Yamaha,Enticer,125,15,42000
1996,"Rs. 2,30,000",Used,14/7/2016,67,Bharatpur,Sportsbike,2016,Yamaha,FZ-S,150,34,5000
1997,"Rs. 1,50,000",Used,13/7/2016,434,Dumre,Scooter,2015,Yamaha,Fascino,113,11,8000
1998,"Rs. 1,40,000",Used,14/7/2016,353,Kathmandu,Sportsbike,2012,Yamaha,FZ-S,153,51,17000
1999,"Rs. 1,05,000",Used,5/7/2016,115,Kathmandu,Sportsbike,2008,Yamaha,R15,150,36,38000
2000,"Rs. 2,70,000",Used,29/6/2016,979,Kathmandu,Sportsbike,2015,Yamaha,R15,150,63,9500
2001,"Rs. 1,50,000",Used,28/6/2016,373,Kathmandu,Scooter,2015,Yamaha,Ray Z,135,10,9917
2002,"Rs. 2,10,000",Used,25/6/2016,781,Kathmandu,Sportsbike,2012,Yamaha,R15,150,51,37000
2003,"Rs. 2,10,000",Used,25/6/2016,64,Kathmandu,Sportsbike,2012,Yamaha,R15,150,51,37000
2004,"Rs. 75,000",Used,24/6/2016,355,Kathmandu,Sportsbike,2012,Yamaha,FZ,153,65,36000
2005,"Rs. 1,50,000",Used,16/6/2016,210,Kathmandu,Sportsbike,2012,Yamaha,R15,150,52,34000
2006,"Rs. 1,50,000",Used,16/6/2016,69,Kathmandu,Standard,2012,Yamaha,Alba,150,52,34000
2007,"Rs. 2,80,000",Used,15/6/2016,96,Janakpur,Sportsbike,2015,Yamaha,R15S,150,74,8000
2008,"Rs. 1,60,000",Used,15/6/2016,347,Kathmandu,Sportsbike,2009,Yamaha,R15,150,31,23000
2009,"Rs. 1,95,000",Used,14/6/2016,551,Madhyapur Thimi,Sportsbike,2015,Yamaha,FZ-S,150,68,2700
2010,"Rs. 1,05,000",Used,11/6/2016,452,Kathmandu,Scooter,2015,Yamaha,Alpha,119,63,11000
2011,"Rs. 2,40,000",Used,7/6/2016,531,Kathmandu,Sportsbike,2015,Yamaha,R15,150,62,9000
2012,"Rs. 1,50,000",Used,5/6/2016,156,Kathmandu,Sportsbike,2015,Yamaha,R15,150,4144,11000
2013,"Rs. 2,15,000",Used,5/6/2016,315,Kathmandu,Sportsbike,2015,Yamaha,FZ-S,153,71,4200
2014,"Rs. 1,10,000",Used,25/5/2016,305,Kathmandu,Sportsbike,2010,Yamaha,FZ-S,153,42,33000
