,price,Condition ,Date ,Views ,City,Motorbike Type ,Make Year,Make,Model,Engine size (cc),Colour,Lot No.,Kilometers,Warranty
1745,"Rs. 9,35,000",Used,16/9/2015,386,Kathmandu,Sportsbike,2009,Suzuki,GSR 600,599,navy,33,12000,
1746,"Rs. 2,10,000",Used,11/9/2015,117,Dharan,Sportsbike,2015,Suzuki,Gixxer,155,red,20,1500,5 years
1747,"Rs. 2,10,000",Used,8/9/2015,126,Kathmandu,Sportsbike,2014,Suzuki,Gixxer,155,grey,67,9000,yes
1748,"Rs. 2,79,900",New,6/12/2015,22354,Kathmandu,Sportsbike,2015,Suzuki,Gixxer SF,155,,,,
1749,"Rs. 1,10,000",Used,8/7/2015,147,Kathmandu,Standard,2014,Suzuki,Slingshot Plus,125,red and white,59,8000,
1750,"Rs. 3,50,000",Used,19/6/2015,403,Kathmandu,Other,,Suzuki,Other,200,White,7,,
1751,"Rs. 1,35,000",Used,18/6/2015,341,Kathmandu,Standard,2012,Suzuki,GS150R,150,Blue,52,11673,
1752,"Rs. 60,000",Used,30/4/2015,9789,Kathmandu,Other,2006,Suzuki,Other,750,blue,11,22000,
1753,"Rs. 1,50,000",Used,5/4/2015,260,Kathmandu,Standard,2013,Suzuki,GS150R,155,Black and Red,54,5500,
1754,"Rs. 70,000",Used,1/4/2015,247,Kathmandu,Scooter,2009,Suzuki,AN125,125,Black,35,26000,
1755,Rs. 115.00,Used,1/4/2015,536,Itahari,Scooter,2014,Suzuki,Swish 125,125,White,12,7000,Yes
1756,"Rs. 35,000",Used,23/3/2015,309,Kathmandu,Other,2000,Suzuki,Other,125,Red,10,61899,
1757,"Rs. 30,000",Used,22/3/2015,202,Kathmandu,Scooter,2000,Suzuki,Access 125,125,red,10,65000,no
1758,"Rs. 2,25,000",Used,12/3/2015,402,Kathmandu,Sportsbike,2014,Suzuki,Gixxer,155,red,67,1000,
1759,"Rs. 8,20,000",Used,7/3/2015,3535,Kathmandu,Sportsbike,2008,Suzuki,GSR 600,600,black,30,20000,no
1760,"Rs. 2,10,000",Used,6/3/2015,1701,Kathmandu,Sportsbike,2014,Suzuki,Gixxer,155,Black,65,2000,
1761,"Rs. 1,65,000",Used,6/3/2015,209,Kathmandu,Standard,2012,Suzuki,GS150R,150,BLACK,61,10000,
1762,"Rs. 65,000",Used,15/2/2015,2534,Kathmandu,Cruiser,1998,Suzuki,GN125,125,black,12,40000,
1763,"Rs. 3,25,000",Used,13/2/2015,3939,Kathmandu,Other,1997,Suzuki,Other,200,white,7,35000,
1764,"Rs. 7,60,000",Used,22/2/2015,2502,Lalitpur,Sportsbike,2009,Suzuki,GSR 600,600,Silver,40,19000,
1765,"Rs. 28,000",Used,8/2/2015,669,Kathmandu,Other,2001,Suzuki,Other,147,Blue,16,45000,
1766,"Rs. 1,55,000",Used,27/1/2015,240,Kathmandu,Scooter,2014,Suzuki,Swish 125,125,Red,65,1100,
1767,"Rs. 2,05,000",Used,21/1/2015,353,,Standard,2014,Suzuki,GS150R,150,Red,61,200,
1768,"Rs. 7,50,000",Used,17/1/2015,4489,Kathmandu,Sportsbike,2007,Suzuki,GSR 600,600,Blue,28,15000,
1769,"Rs. 2,00,000",Used,13/1/2015,1421,Kathmandu,Sportsbike,2014,Suzuki,Gixxer,155,blue,65,455,5 years
1770,"Rs. 1,68,900",New,6/12/2015,1302,Kathmandu,Scooter,2015,Suzuki,Lets,113,,,,5 Years
1771,"Rs. 31,00,000",New,28/12/2014,6664,Kathmandu,Sportsbike,2014,Suzuki,B-King,1340,,,,
1772,"Rs. 2,17,900",New,28/12/2014,2447,Kathmandu,Standard,2014,Suzuki,GS150R,150,,,,"2 Years OR 30,000 Kms"
1773,"Rs. 36,00,000",New,28/12/2014,21250,Kathmandu,Sportsbike,2014,Suzuki,Hayabusa,1340,,,,
1774,"Rs. 2,14,900",New,7/9/2015,2436,Kathmandu,Cruiser,2014,Suzuki,GN125,125,,,,"2 Years OR 30,000 Kms"
1775,"Rs. 2,14,900",New,7/9/2015,7901,Kathmandu,Cruiser,2014,Suzuki,GN125,125,,,,"2 Years OR 30,000 Kms"
1776,"Rs. 1,94,900",New,28/12/2014,1341,Kathmandu,Scooter,2013,Suzuki,AN125,124,,,,"2 Years OR 30,000 Kms"
1777,"Rs. 1,99,900",New,28/12/2014,2014,Kathmandu,Standard,2012,Suzuki,Thunder EN125,124,,,,
1778,"Rs. 7,50,000",New,28/12/2014,4996,Kathmandu,Sportsbike,2013,Suzuki,Inazuma 250,248,,,,"1 Year OR 20,000 Kms"
1779,"Rs. 2,89,900",New,28/12/2014,10849,Kathmandu,Cruiser,2014,Suzuki,GZ150,150,,,,"2 Years OR 30,000 Kms"
1780,"Rs. 21,20,000",New,24/12/2014,11097,Kathmandu,Sportsbike,2014,Suzuki,GSX-R600,599,,,,
1781,"Rs. 16,50,000",New,24/12/2014,5829,Kathmandu,Scooter,2009,Suzuki,Burgman,400,,,,
1782,"Rs. 30,000",Used,13/11/2014,765,Kathmandu,Scooter,2002,Suzuki,Access 125,125,black,14,40000,no
1783,"Rs. 90,000",Used,11/11/2014,124,Kathmandu,Other,2007,Suzuki,Other,125,Sky Blue,30,9527,
1784,"Rs. 9,00,000",Used,31/10/2014,1886,Kathmandu,Sportsbike,2009,Suzuki,GSR 600,600,blue,63,12000,
1785,"Rs. 2,49,999",Used,31/10/2014,2178,Kathmandu,Cruiser,1997,Suzuki,GN250,250,black,7,25000,japan
1786,"Rs. 4,50,000",Used,31/10/2014,476,Kathmandu,Other,2009,Suzuki,Other,125,blue,35,11000,
1787,"Rs. 1,99,000",Used,22/9/2014,143,Kathmandu,Standard,2013,Suzuki,GS150R,150,black,61,6000,one year
1788,"Rs. 10,00,000",Used,12/9/2014,842,Kathmandu,Sportsbike,2009,Suzuki,GSR 600,600,black,35,11500,
1789,"Rs. 90,000",Used,8/9/2014,151,Kathmandu,Standard,2010,Suzuki,GS150R,150,Black,48,15000,
1790,"Rs. 2,41,900",New,6/12/2015,60448,Kathmandu,Sportsbike,2014,Suzuki,Gixxer,155,,,,
1791,"Rs. 1,68,900",New,6/12/2015,6362,Kathmandu,Scooter,2014,Suzuki,Lets,113,,,,5 Years
1792,"Rs. 8,35,000",Used,8/6/2014,6046,Kathmandu,Sportsbike,2008,Suzuki,GSR 600,600,Blue Silver,28,10890,
1793,"Rs. 1,79,900",New,6/12/2015,3712,Kathmandu,Scooter,2014,Suzuki,Swish 125,124,,,,5 Years
1794,"Rs. 1,64,900",New,6/12/2015,2929,Kathmandu,Standard,2014,Suzuki,Hayate,113,,,,5 Years
1795,"Rs. 1,79,900",New,6/12/2015,1896,Kathmandu,Standard,2014,Suzuki,Slingshot Plus,124,,,,5 Years
1796,"Rs. 1,83,900",New,6/12/2015,959,Kathmandu,Standard,2014,Suzuki,Slingshot Plus,124,,,,5 Years
1797,"Rs. 2,21,900",New,6/12/2015,3873,Kathmandu,Standard,2014,Suzuki,GS150R,150,,,,5 Years
1798,"Rs. 1,79,900",New,6/12/2015,3872,Kathmandu,Scooter,2014,Suzuki,Access 125,124,,,,5 Years
1799,"Rs. 2,50,000",Used,15/8/2020,107,Birendranagar,Other,2016,TVS,Other,200,White,7,25000,
1800,"Rs. 1,75,000",Used,4/8/2020,145,Kathmandu,Other,2017,TVS,Other,200,Matt Red,81,19800,
1801,"Rs. 2,70,000",Used,20/3/2017,452,Pokhara,Other,2016,TVS,Other,200,matte black,12,2500,full warranty
1802,Rs. 100.00,Used,28/2/2017,684,Pokhara,Standard,2015,TVS,Apache 150,110,Red & Black,11,,
1803,"Rs. 2,10,000",Used,25/1/2017,1227,Kathmandu,Standard,2016,TVS,Apache 150,200,white,80,2050,dealar
1804,Contact Seller,Used,23/1/2017,725,Kathmandu,Other,2016,TVS,Other,200,red  or   white,80,3000,dealar
1805,"Rs. 1,50,000",Used,11/1/2017,158,Golbazar,Standard,2014,TVS,Apache RTR 160,160,White,6,34000,No warranty
1806,Contact Seller,Used,22/12/2016,66,Kathmandu,,1992,TVS,,,tVX3k27u6qO9,,,bU9l7prSti
1807,"Rs. 75,000",Used,3/2/2017,786,Biratnagar,Standard,2009,TVS,Apache RTR 160,160,Silver,33,13000,
1808,"Rs. 2,00,000",Used,5/12/2016,498,Lalitpur,Standard,2014,TVS,Apache RTR 160,160,White,67,3000,
1809,"Rs. 2,10,000",Used,6/11/2016,478,Biratnagar,Standard,2016,TVS,Apache RTR 180,180,grey,24,6220,just 8 months used
1810,"Rs. 1,00,000",Used,4/11/2016,456,Lalitpur,Standard,2011,TVS,Apache RTR 160,160,Grey,45,39000,
1811,"Rs. 1,90,000",Used,26/10/2016,73,Kathmandu,Standard,2015,TVS,Apache RTR 160,160,White,67,12000,
1812,"Rs. 16,50,000",Used,21/9/2016,309,Birtamod,Standard,2014,TVS,Apache RTR 180,180,black and white,6,25000,
1813,"Rs. 1,60,000",Used,20/9/2016,220,Kathmandu,Standard,2014,TVS,Apache 150,177,gray,64,18000,no
1814,"Rs. 1,15,000",Used,20/8/2016,326,Kathmandu,Standard,2012,TVS,Apache RTR 180,180,grey,50,24000,
1815,Contact Seller,Used,17/8/2016,563,Biratnagar,Standard,2016,TVS,Apache RTR 180,180,Matt Grey,24,4500,3 year engine
1816,"Rs. 90,000",Used,12/8/2016,151,Kathmandu,Standard,2010,TVS,Apache RTR 160,160,black,37,2100,
1817,"Rs. 1,55,000",Used,15/7/2016,448,Kathmandu,Standard,2014,TVS,Apache RTR 160,160,red,64,16500,
1818,"Rs. 95,000",Used,25/10/2016,336,Kathmandu,Standard,2010,TVS,Apache RTR 160,160,Matt Grey,44,34000,No
1819,"Rs. 95,000",Used,9/7/2016,78,Kathmandu,Standard,2010,TVS,Apache RTR 180,180,white,41,,
1820,"Rs. 1,10,000",Used,12/6/2016,225,Kathmandu,Standard,2009,TVS,Apache RTR 160,160,Red,33,32000,No
1821,"Rs. 65,000",Used,11/6/2016,134,Pokhara,Standard,2006,TVS,Apache RTR 160,160,silver,4,50000,
1822,"Rs. 1,40,000",Used,30/5/2016,129,Kathmandu,Standard,2013,TVS,Apache RTR 160,160,Black,61,1200,
1823,"Rs. 65,000",Used,31/5/2016,389,Kathmandu,Standard,2008,TVS,Apache 150,150,Red,23,37000,
1824,Rs. 210.00,Used,22/3/2016,132,Lahan,Standard,2015,TVS,Apache RTR 180,180,white,6,6000,more 6 montys
1825,"Rs. 1,50,000",Used,19/3/2016,1224,Damak,Standard,2013,TVS,Apache 150,180,Matt Black,2015,19000,
1826,"Rs. 45,000",Used,10/3/2016,199,Kathmandu,Other,2010,TVS,Other,125,red/black,29,9800,
1827,"Rs. 1,40,000",Used,28/1/2016,2056,Kathmandu,Standard,2012,TVS,Apache RTR 180,180,Black,54,6000,No
1828,Rs. 215.00,Used,16/1/2016,308,Hetauda,Standard,2014,TVS,Apache RTR 180,180,silver grey,35,2400,2yrs
1829,"Rs. 1,85,000",Used,6/1/2016,442,Kathmandu,Standard,2014,TVS,Apache RTR 160,160,White,64,14600,
1830,"Rs. 40,000",Used,19/10/2015,1027,Kathmandu,Other,2015,TVS,Other,110,black,17,45000,
1831,"Rs. 1,40,000",Used,28/9/2015,288,Kathmandu,Standard,2013,TVS,Apache RTR 180,180,White,50,40000,No
1832,"Rs. 1,10,000",Used,10/9/2015,227,Madhyapur Thimi,Scooter,2013,TVS,Wego 110,110,Black,59,7000,
1833,"Rs. 1,51,900",New,6/9/2015,3920,Kathmandu,Standard,2015,TVS,Sport,100,,,,
1834,"Rs. 1,59,900",New,6/9/2015,3500,Kathmandu,Scooter,2015,TVS,Scooty Zest 110,110,,,,
1835,"Rs. 1,65,000",Used,1/3/2016,783,Biratnagar,Standard,2014,TVS,Apache RTR 180,180,white,59,11000,no
1836,"Rs. 1,64,995",Used,24/7/2015,580,Kathmandu,Standard,2014,TVS,Apache RTR 180,180,White,60,13000,1 week
1837,"Rs. 80,000",Used,7/7/2015,3002,Kathmandu,Standard,2009,TVS,Apache RTR 160,160,Red,29,26500,
1838,"Rs. 1,35,000",Used,5/7/2015,204,Kathmandu,Standard,2012,TVS,Apache RTR 160,160,Black,51,14000,
1839,"Rs. 60,000",Used,3/7/2015,1308,Kathmandu,Standard,2008,TVS,Apache 150,150,Red,23,33000,
1840,"Rs. 1,65,000",Used,30/6/2015,1344,Kathmandu,Standard,2014,TVS,Apache RTR 160,160,Red,60,13000,
1841,"Rs. 1,20,000",Used,29/6/2015,377,Kathmandu,Standard,2010,TVS,Apache RTR 180,180,White,42,25000,
1842,"Rs. 55,500",Used,30/6/2015,408,Bhaktapur,Standard,2015,TVS,Apache RTR 160,160,Yellow,27,,
1843,"Rs. 55,000",Used,26/6/2015,160,Kathmandu,Standard,,TVS,Apache 150,150,Red,22,50000,
1844,"Rs. 1,25,000",Used,25/6/2015,83,Kathmandu,Standard,2011,TVS,Apache RTR 180,180,White,46,34000,
1845,"Rs. 1,39,000",Used,23/6/2015,79,Kathmandu,Standard,,TVS,Apache RTR 180,180,Grey,47,20000,
1846,"Rs. 1,10,000",Used,24/6/2015,908,Kathmandu,Standard,2010,TVS,Apache RTR 160,160,Grey,42,30000,
1847,"Rs. 1,45,000",Used,14/6/2015,47,Bhaktapur,Standard,2012,TVS,Apache RTR 180,180,White,50,30000,
1848,"Rs. 1,85,000",Used,14/6/2015,209,Lalitpur,Standard,2014,TVS,Apache RTR 160,160,White &Black,61,6147,
1849,"Rs. 1,45,000",Used,7/6/2015,138,Kathmandu,Standard,2010,TVS,Apache RTR 180,180,Black,40,20500,
1850,"Rs. 1,35,000",Used,6/6/2015,350,Kathmandu,Standard,2011,TVS,Apache RTR 180,180,white,45,20000,
1851,"Rs. 85,000",Used,5/6/2015,142,Kathmandu,Standard,2008,TVS,Apache RTR 160,160,RED,28,,
1852,"Rs. 1,10,000",Used,27/5/2015,155,Kathmandu,Standard,2010,TVS,Apache RTR 160,160,SILVER,42,,
1853,"Rs. 1,45,000",Used,22/5/2015,1929,Kathmandu,Standard,2012,TVS,Apache RTR 180,180,White,48,27600,
1854,"Rs. 1,45,000",Used,21/5/2015,176,Hile,Standard,2012,TVS,Apache RTR 180,180,black,13,23000,
1855,"Rs. 1,50,000",Used,15/5/2015,57,Lalitpur,Standard,2011,TVS,Apache RTR 180,180,Grey,47,37000,
1856,"Rs. 50,000",Used,15/5/2015,2063,Chitwan,Scooter,2015,TVS,Scooty Streak,88,Red,9,2900,
1857,"Rs. 60,000",Used,11/5/2015,158,Kathmandu,Scooter,2008,TVS,Scooty pep+,102,Red,30,15000,No
1858,"Rs. 2,00,000",Used,7/5/2015,110,Kathmandu,Standard,2015,TVS,Apache RTR 160,160,N/A,68,1500,
1859,"Rs. 64,999",Used,7/5/2015,152,Kathmandu,Standard,2007,TVS,Apache RTR 160,160,Black,26,,
1860,"Rs. 1,85,000",Used,6/5/2015,462,Kathmandu,Standard,2013,TVS,Apache RTR 180,180,White,59,17000,
1861,"Rs. 1,05,000",Used,6/5/2015,668,Pokhara,Scooter,2012,TVS,Wego 110,110,White,7,,
1862,"Rs. 20,000",Used,20/4/2015,1491,Kathmandu,Scooter,2008,TVS,Scooty pep+,108,Red,30,,
1863,"Rs. 1,00,000",Used,16/4/2015,472,Kathmandu,Scooter,2014,TVS,Wego 110,110,green,64,5000,24 month
1864,"Rs. 1,60,000",Used,3/4/2015,112,Kathmandu,Standard,2012,TVS,Apache RTR 180,180,Grey,49,12000,
1865,"Rs. 1,82,000",Used,2/4/2015,96,Lalitpur,Standard,2014,TVS,Apache RTR 180,189,White,61,7200,
1866,"Rs. 1,05,000",Used,29/3/2015,573,Kathmandu,Standard,2009,TVS,Apache RTR 180,180,Black,38,26000,
1867,"Rs. 85,000",Used,23/3/2015,99,Kathmandu,Standard,2009,TVS,Apache RTR 160,160,Grey,37,40000,
1868,"Rs. 80,000",Used,20/3/2015,134,Kathmandu,Standard,2010,TVS,Apache 150,160,yellow,35,25000,
1869,"Rs. 45,000",Used,19/3/2015,119,Kathmandu,Scooter,2009,TVS,Scooty pep+,97,Pink,34,15000,
1870,"Rs. 1,20,000",Used,17/3/2015,485,Kathmandu,Standard,2010,TVS,Apache RTR 180,177,White,46,29406,-
1871,"Rs. 1,20,000",Used,16/3/2015,1176,Kathmandu,Standard,2011,TVS,Apache RTR 180,180,White,41,30000,
1872,"Rs. 1,80,000",Used,14/3/2015,836,Birtamod,Standard,2013,TVS,Apache RTR 160,160,Black Red,6,10000,
1873,"Rs. 1,25,000",Used,3/5/2015,565,Bhairahawa,Standard,2010,TVS,Apache RTR 160,158,black,10,56000,
1874,"Rs. 1,54,000",Used,11/3/2015,103,Kathmandu,Standard,2013,TVS,Apache RTR 160,160,Red And White,54,17500,
1875,"Rs. 1,13,000",Used,4/3/2015,66,Lalitpur,Standard,2010,TVS,Apache RTR 180,180,White,39,35000,
1876,"Rs. 1,86,000",Used,26/2/2015,1134,Kathmandu,Standard,2013,TVS,Apache RTR 180,180,White,57,4530,
1877,"Rs. 1,95,000",Used,25/2/2015,968,Kathmandu,Standard,2014,TVS,Apache RTR 180,180,White,63,2900,Got free service from company
1878,"Rs. 6,500",Used,15/2/2015,304,Kathmandu,Standard,2010,TVS,Apache RTR 160,160,silver,34,3000,no
1879,"Rs. 1,75,000",Used,13/2/2015,1678,Kathmandu,Standard,2013,TVS,Apache RTR 180,180,Grey,58,9500,
1880,"Rs. 1,45,000",Used,23/2/2015,110,Kathmandu,Standard,2011,TVS,Apache RTR 180,180,GREY,49,8500,
1881,"Rs. 1,40,000",Used,10/2/2015,95,Kathmandu,Standard,2012,TVS,Apache RTR 180,180,White,51,25000,
1882,"Rs. 1,67,900",Used,28/1/2015,823,Lalitpur,Scooter,2014,TVS,Wego 110,110,RED WHITE BLACK,66,,2 years/20000 km
1883,"Rs. 83,000",Used,28/1/2015,1222,Kathmandu,Standard,2010,TVS,Apache RTR 180,180,Yellow,39,,
1884,"Rs. 1,59,000",Used,26/1/2015,65,Biratnagar,Standard,2012,TVS,Apache RTR 180,177,white,14,23000,
1885,"Rs. 1,39,999",Used,23/1/2015,633,Kathmandu,Standard,2012,TVS,Apache RTR 180,180,White,49,18500,
1886,"Rs. 43,000",Used,19/1/2015,601,Lalitpur,Scooter,2006,TVS,Scooty pep+,100,purple,22,35252,
1887,"Rs. 1,34,999",Used,19/1/2015,554,Bhaktapur,Standard,2012,TVS,Apache RTR 180,180,White,49,19000,
1888,"Rs. 80,000",Used,9/1/2015,962,Kathmandu,Standard,,TVS,Apache RTR 160,160,Orange,37,,
1889,"Rs. 99,999",Used,4/1/2015,461,Kathmandu,Standard,2010,TVS,Apache RTR 160,160,Red,43,34000,
1890,"Rs. 60,000",Used,31/12/2014,452,Kathmandu,Scooter,2009,TVS,Scooty Streak,95,blue,37,29200,n/a
1891,"Rs. 1,00,000",Used,21/12/2014,121,Kathmandu,Standard,2009,TVS,Apache RTR 160,160,Grey,38,42000,
1892,"Rs. 1,95,000",Used,25/12/2014,569,Bhaktapur,Standard,2010,TVS,Apache RTR 180,180,black,66,,2yrs
1893,"Rs. 1,48,900",Used,21/12/2014,878,Kathmandu,Standard,2012,TVS,Apache RTR 160,160,Black and Red,52,29000,
1894,"Rs. 85,000",Used,1/12/2014,373,Kathmandu,Standard,2010,TVS,Apache RTR 160,160,Red,39,25500,
1895,"Rs. 1,30,000",Used,2/12/2014,851,Pokhara,Scooter,2014,TVS,Wego 110,110,Grey,9,2200,
1896,"Rs. 1,05,000",Used,20/11/2014,268,Lalitpur,Standard,2011,TVS,Apache RTR 160,160,Grey,36,27000,
1897,"Rs. 1,00,000",Used,18/11/2014,599,Kathmandu,Standard,2009,TVS,Apache RTR 160,160,Black,38,37000,
1898,"Rs. 65,000",Used,18/11/2014,1562,Kathmandu,Standard,2006,TVS,Apache 150,150,Black,23,20000,
1899,"Rs. 85,000",Used,12/11/2014,42,Kathmandu,Standard,2010,TVS,Apache RTR 160,160,yellow,36,70000,
1900,"Rs. 75,000",Used,10/11/2014,2700,Kathmandu,Other,2010,TVS,Other,150,Black,24,30000,
1901,"Rs. 1,15,000",Used,5/11/2014,119,Kathmandu,Standard,2010,TVS,Apache RTR 160,160,BLACK,43,32000,NO
1902,Contact Seller,Used,4/11/2014,438,Pokhara,Standard,2011,TVS,Apache RTR 180,180,Grey,40,13000,
1903,"Rs. 50,000",Used,26/10/2014,277,Birat Chowk,Standard,2010,TVS,Apache RTR 160,150,red,3,30000,
1904,"Rs. 2,00,000",Used,8/10/2014,145,Lahan,Standard,2013,TVS,Apache RTR 160,160,grey black,4,6000,
1905,"Rs. 1,10,000",Used,5/10/2015,148,Lalitpur,Standard,2011,TVS,Apache RTR 180,180,grey,47,30000,
1906,"Rs. 90,000",Used,8/10/2014,80,,Standard,2009,TVS,Apache RTR 160,160,grey,39,30000,no
1907,"Rs. 1,15,000",Used,23/9/2014,734,Narayanghat,Standard,2010,TVS,Apache RTR 180,180,White,17,40000,
1908,"Rs. 1,20,000",Used,22/9/2014,88,Lalitpur,Standard,2010,TVS,Apache RTR 160,160,RED,38,29000,
1909,"Rs. 1,32,900",New,28/7/2015,5327,Kathmandu,Scooter,2014,TVS,Pep +,88,,,,
1910,"Rs. 1,90,000",Used,2/8/2014,69,,Standard,2014,TVS,Apache RTR 180,180,white,62,3500,2
1911,"Rs. 1,67,900",New,6/9/2015,6923,Kathmandu,Scooter,2014,TVS,Jupiter,110,,,,
1912,"Rs. 2,37,900",New,6/9/2015,21632,Kathmandu,Standard,2014,TVS,Apache RTR 180,177,,,,
1913,"Rs. 2,26,900",New,6/9/2015,23200,Kathmandu,Standard,2014,TVS,Apache RTR 160,160,,,,
1914,"Rs. 1,72,900",New,6/9/2015,3196,Kathmandu,Standard,2014,TVS,Phoenix 125,125,,,,
1915,"Rs. 1,68,900",New,6/9/2015,8617,Kathmandu,Scooter,2014,TVS,Wego 110,110,,,,
1916,"Rs. 1,56,900",New,6/9/2015,3452,Kathmandu,Standard,2014,TVS,Star City 110,110,,,,
1917,"Rs. 3,25,000",Used,4/10/2020,20,Banepa,Sportsbike,2018,Yamaha,R15,155,red,2,9000,
1918,"Rs. 75,000",Used,3/10/2020,4,Pokhara,Sportsbike,2012,Yamaha,FZ-S,158,Red black,7,65000,
1919,"Rs. 75,000",Used,3/10/2020,0,Pokhara,Sportsbike,2012,Yamaha,FZ-S,158,Red black,7,65000,
1920,"Rs. 2,60,000",Used,25/9/2020,59,Hetauda,Sportsbike,2018,Yamaha,FZ,250,Black,95,27000,
1921,"Rs. 3,05,000",Used,21/8/2020,93,Lalitpur,Sportsbike,2019,Yamaha,FZ-S,149,Blue,9,3000,
1922,"Rs. 2,10,000",Used,11/8/2020,125,Kathmandu,Sportsbike,2020,Yamaha,FZ-S,150,special green,15,20000,
1923,"Rs. 2,25,000",Used,8/8/2020,63,Lekhnath,Standard,2020,Yamaha,SZ-RR,149,Green,18,3000,
1924,"Rs. 1,30,000",Used,9/8/2020,110,Kathmandu,Sportsbike,2007,Yamaha,R15,150,Yellow,44,29000,
1925,"Rs. 2,55,000",Used,18/7/2020,96,,Sportsbike,2019,Yamaha,FZ-S,150,Blue,112,5000,
1926,"Rs. 2,50,000",Used,18/7/2020,87,Kathmandu,Sportsbike,2019,Yamaha,FZ-S,150,Blue,5,11000,1 year
1927,"Rs. 2,40,000",Used,14/6/2020,111,Ratnanagar,Sportsbike,2018,Yamaha,FZ,250,Black,63,20500,
1928,"Rs. 8,40,000",Used,26/4/2020,617,Kathmandu,Sportsbike,2018,Yamaha,R3,320,Blue and black,98,10000,Yes
1929,"Rs. 1,49,000",Used,6/4/2017,528,Lalitpur,Sportsbike,2011,Yamaha,R15,150,YELLOW,46,20000,
1930,"Rs. 2,15,000",Used,29/3/2017,570,Kathmandu,Sportsbike,2014,Yamaha,R15,150,White and red,59,22560,
1931,"Rs. 2,09,000",Used,25/3/2017,579,Kathmandu,Other,2016,Yamaha,Other,150,red,80,4000,still 5 free services remain
1932,"Rs. 1,50,000",Used,19/3/2017,163,Bhairahawa,Sportsbike,2013,Yamaha,FZ-16,150,black and golden,15,28000,
1933,"Rs. 1,60,000",Used,13/3/2017,1138,Pokhara,Sportsbike,2013,Yamaha,R15,150,Black golden,8,30000,
1934,Rs. 155.00,Used,10/3/2017,393,Pokhara,Other,2016,Yamaha,Other,113,gray & white,12,5000,5 years
1935,"Rs. 8,20,000",Used,3/3/2017,1873,Kathmandu,Sportsbike,2016,Yamaha,R3,321,black,78,2400,2 yrs
1936,"Rs. 2,00,000",Used,2/3/2017,538,,Sportsbike,2015,Yamaha,R15,150,Blue,34,45000,
1937,"Rs. 1,85,000",Used,1/3/2017,597,Kathmandu,Sportsbike,2012,Yamaha,R15,150,WHITE N RED,50,24000,
1938,"Rs. 1,40,000",Used,22/2/2017,371,Biratnagar,Sportsbike,2010,Yamaha,R15,150,blue,15,45000,no
1939,"Rs. 1,05,000",Used,21/2/2017,1108,Kathmandu,Sportsbike,2009,Yamaha,R15,150,Red,35,,Non
1940,"Rs. 1,40,000",Used,2/3/2017,600,Kathmandu,Standard,2015,Yamaha,SS 125,125,Blue and black,63,13000,
1941,"Rs. 1,45,000",Used,19/2/2017,250,Birgunj,Scooter,2016,Yamaha,Fascino,112,white,37,12000,
1942,"Rs. 1,60,000",Used,10/2/2017,355,Kathmandu,Sportsbike,2014,Yamaha,R15,14,red & white,40,55000,
1943,"Rs. 1,60,000",Used,10/2/2017,198,Kathmandu,Sportsbike,2014,Yamaha,R15,14,red & white,40,55000,
1944,"Rs. 1,50,000",Used,10/2/2017,2605,Pokhara,Other,2016,Yamaha,Other,113,gray white,12,5000,no
1945,"Rs. 2,90,000",Used,9/2/2017,344,Kathmandu,Sportsbike,2015,Yamaha,R15S,150,red,72,7000,available
1946,"Rs. 3,00,000",Used,24/1/2017,324,Butwal,Sportsbike,2016,Yamaha,R15S,150,Red,4,6830,5 year
1947,"Rs. 3,00,000",Used,24/1/2017,168,Butwal,Sportsbike,2016,Yamaha,R15S,150,Red,4,6830,5 year
1948,"Rs. 2,10,000",Used,23/1/2017,165,Dumre,Sportsbike,2015,Yamaha,R15,150,WHITE & RED,10,14000,
1949,"Rs. 2,40,000",Used,23/1/2017,571,Kathmandu,Sportsbike,2015,Yamaha,R15,150,Red,65,15000,
1950,Rs. 280.00,Used,22/1/2017,656,Lalitpur,Sportsbike,2015,Yamaha,R15,150,Silver black,69,8500,
1951,"Rs. 3,00,000",Used,20/1/2017,248,Kathmandu,Sportsbike,2015,Yamaha,R15S,150,white,79,1500,
1952,"Rs. 1,06,000",Used,20/1/2017,544,Kathmandu,Scooter,2014,Yamaha,Alpha,113,Grey,65,17000,
1953,"Rs. 8,30,000",Used,15/1/2017,1587,Butwal,Sportsbike,2016,Yamaha,R3,321,Bule,30,946,2
1954,"Rs. 1,80,000",Used,8/1/2017,103,Kathmandu,Sportsbike,2015,Yamaha,FZ-S,149,GREEN,66,23000,
1955,Rs. 76.00,Used,26/12/2016,127,Kathmandu,,2014,Yamaha,,,IUEPKfXEbR,,,NjD3nYLI
1956,"Rs. 3,05,000",Used,21/12/2016,599,Kathmandu,Sportsbike,2016,Yamaha,R15S,163,red and white,78,2600,2 years
1957,"Rs. 2,50,000",Used,19/12/2016,633,Waling,Sportsbike,2014,Yamaha,R15,150,Red black white,19,25000,
1958,"Rs. 2,00,000",Used,8/12/2016,524,Lalitpur,Sportsbike,2015,Yamaha,FZ-S,150,Blue,67,6300,
1959,"Rs. 2,00,000",Used,8/12/2016,343,Kathmandu,Sportsbike,2016,Yamaha,FZ-S,150,White and Red,69,7000,
1960,"Rs. 1,30,000",Used,6/12/2016,601,Kathmandu,Sportsbike,2011,Yamaha,R15,150,flat black,40,62000,nop
