,price,Condition ,Date ,Views ,City,Motorbike Type ,Make Year,Make,Model,Engine size (cc),Colour,Lot No.,Kilometers,Warranty
1403,"Rs. 4,32,000",Used,22/6/2016,112,Narayanghat,Sportsbike,2014,KTM,RC 200,200,Black,38,8000,
1404,"Rs. 4,32,000",Used,19/6/2016,91,Parsa Bazaar,Sportsbike,2014,KTM,RC 200,200,Black,38,8000,
1405,"Rs. 3,95,000",Used,16/6/2016,375,Kathmandu,Sportsbike,2015,KTM,Duke 200,200,Black and white,69,3500,
1406,"Rs. 4,32,000",Used,15/6/2016,83,Kathmandu,Sportsbike,2015,KTM,RC 200,200,black,68,9000,yes
1407,"Rs. 3,72,000",Used,9/6/2016,396,Kathmandu,Sportsbike,2015,KTM,Duke 200,200,orange,70,7000,2 yrs
1408,"Rs. 4,30,000",Used,3/6/2016,339,Kathmandu,Sportsbike,2015,KTM,RC 200,200,black,21,12000,
1409,"Rs. 4,30,000",Used,3/6/2016,60,Urlabari,Sportsbike,2015,KTM,RC 200,200,black,21,12000,
1410,"Rs. 4,40,000",Used,17/5/2016,744,Kathmandu,Sportsbike,2015,KTM,RC 200,200,Black,69,9000,
1411,"Rs. 4,35,000",Used,10/5/2016,285,Kathmandu,Sportsbike,2015,KTM,RC 200,200,Black,,1700,2 year
1412,"Rs. 3,30,000",Used,7/5/2016,619,Kathmandu,Sportsbike,2014,KTM,Duke 200,200,black,64,13000,
1413,"Rs. 3,40,000",Used,5/5/2016,384,Waling,Sportsbike,2014,KTM,Duke 200,200,Black,11,10000,
1414,"Rs. 4,50,000",Used,4/5/2016,346,Lalitpur,Sportsbike,2015,KTM,RC 200,200,black,69,8000,
1415,"Rs. 3,45,000",Used,3/5/2016,578,Waling,Sportsbike,2014,KTM,Duke 200,200,Black,19,9662,No
1416,"Rs. 4,10,000",Used,3/8/2016,523,Bhaktapur,Sportsbike,2016,KTM,Duke 200,200,white,73,6000,bharkhar  kineko dherai bha chaina
1417,"Rs. 3,10,000",Used,5/6/2016,194,Kathmandu,Sportsbike,2012,KTM,Duke 200,200,ORANGE,57,16000,NO
1418,"Rs. 3,45,000",Used,25/4/2016,467,Kathmandu,Sportsbike,2014,KTM,Duke 200,200,white,65,5980,
1419,"Rs. 4,65,000",Used,23/4/2016,790,Kathmandu,Sportsbike,2015,KTM,RC 200,200,With racing graphics .,10,4000,
1420,"Rs. 4,65,000",Used,23/4/2016,275,Kathmandu,Sportsbike,2015,KTM,RC 200,200,With racing graphics .,10,4000,
1421,"Rs. 3,80,000",Used,22/4/2016,363,,Sportsbike,2015,KTM,Duke 200,200,White,69,4200,
1422,"Rs. 4,60,000",Used,4/4/2016,78,,Sportsbike,2015,KTM,Duke 200,200,black,10,9000,
1423,"Rs. 4,00,000",Used,26/3/2016,770,Kathmandu,Sportsbike,2015,KTM,RC 200,644,orange,64,24085,
1424,"Rs. 4,00,000",Used,26/3/2016,464,Kathmandu,Sportsbike,2015,KTM,RC 200,644,orange,64,24085,
1425,"Rs. 5,45,000",Used,25/3/2016,5405,Kathmandu,Sportsbike,2015,KTM,Duke 390,375,white,70,2300,manufacture
